sedalea,sedaleaname,stateabb,cs_mn_avg_eb,cs_mn_avg_eb_se_adj,year,tot_asmts,cellcount,mn_asmts
3176620,Shelton Public Schools,NE,-0.2174333613961196,0.0474398631004989,2019,206,12,17.16666666666667
1811260,Tell City-Troy Twp School Corporation,IN,0.3449286026560885,0.0335009238665157,2019,1281,12,106.75
643380,Yreka Union Elementary,CA,-0.4021778725023678,0.0304622879644501,2019,1398,12,116.5
2912870,Gilman City R-IV,MO,-0.0815658993268256,0.0595523931237259,2019,125,11,11.36363636363636
4827450,Liberty ISD,TX,-0.2398764517718326,0.0300010380375553,2019,1354,8,169.25
4217580,Northern Bedford County SD,PA,0.3367194654255533,0.0359583611900965,2019,749,12,62.41666666666666
3405310,Fort Lee School District,NJ,0.7336647427071094,0.0276358037787964,2019,3507,11,318.8181818181818
3701830,Greene County Schools,NC,-0.3965430047830248,0.0245608377472522,2019,2826,12,235.5
4822470,Harlandale ISD,TX,-0.2630749840192073,0.018886031122146,2019,9253,8,1156.625
506150,Flippin School District,AR,-0.2316319367563763,0.0370094199125819,2019,832,12,69.33333333333333
1304110,Pickens County,GA,-0.1357878695939135,0.0257354482332751,2019,2872,9,319.1111111111111
607170,Camino Union Elementary,CA,0.1020276428955789,0.0358665732053453,2019,515,12,42.91666666666666
2721450,Moose Lake Public School District,MN,0.0778600365371578,0.0357593363866002,2019,600,12,50.0
1802520,Culver Community Schools Corporation,IN,-0.0769568875123147,0.0380507793709108,2019,708,12,59.0
2102760,Henry County,KY,-0.2364874719366037,0.0297230563114497,2019,1852,12,154.3333333333333
5508820,Marshfield Unified School District,WI,0.3444682494962192,0.0238996506897735,2019,3436,12,286.3333333333333
2011280,Pawnee Heights,KS,0.519929328146856,0.0599549697818374,2019,92,11,8.363636363636363
1721420,Komarek SD 94,IL,0.121782009091856,0.0399233099045887,2019,687,12,57.25
1739180,Tonica CCSD 79,IL,-0.2834610991083708,0.0509253242806593,2019,220,12,18.33333333333333
1732520,Prairie Grove CSD 46,IL,0.5117193767481815,0.0376150449527272,2019,858,12,71.5
2930330,Tipton R-VI,MO,-0.2486963278014039,0.0424780782748102,2019,425,11,38.63636363636363
3414460,Rutherford School District,NJ,0.5675685874671691,0.0284892628836919,2019,2187,11,198.8181818181818
404630,Marana Unified District (4404),AZ,-0.0214568796584504,0.0184909224142932,2019,12847,11,1167.909090909091
623010,Lowell Joint,CA,0.1640834217058049,0.0216120555070109,2019,4269,12,355.75
2632300,South Haven Public Schools,MI,-0.1694544465387028,0.0280181877180206,2019,1794,12,149.5
5512540,Kickapoo Area School District,WI,-0.0562366559816135,0.0410603957688089,2019,476,12,39.66666666666666
1810900,Southwest Parke Community School Corporation,IN,-0.1288673921397795,0.0348450625564903,2019,950,12,79.16666666666667
4005340,Bray-Doyle,OK,-0.2486571123083707,0.0452715163800926,2019,268,12,22.33333333333333
103450,Walker County,AL,-0.3534671600083518,0.0216414821332186,2019,6506,12,542.1666666666666
2512630,Westfield,MA,0.0968211467517395,0.0227121584371989,2019,4615,12,384.5833333333333
3415990,Swedesboro-Woolwich School District,NJ,0.361189799762964,0.0250826643103198,2019,3345,11,304.0909090909091
2008280,Lakin,KS,-0.2686794962754492,0.0360536292568954,2019,612,12,51.0
5103460,Salem City Public Schools,VA,0.1230733561798156,0.034088554624857,2019,2336,8,292.0
3303420,Greenland School District,NH,0.7816158324300281,0.0457225749542175,2019,334,8,41.75
5513710,Shell Lake School District,WI,0.0128816805069429,0.0372699252782019,2019,620,12,51.66666666666666
4821330,Graford ISD,TX,-0.3917955207817093,0.0467091704436524,2019,228,8,28.5
2609750,Clare Public Schools,MI,-0.0815388980542035,0.0283573583379841,2019,1481,12,123.4166666666667
2717570,Lake Of The Woods School District,MN,-0.2345066628260739,0.038487125189882,2019,398,12,33.16666666666666
636840,Simi Valley Unified,CA,-0.053361272264941,0.0178137068791543,2019,14309,12,1192.416666666667
1927500,West Central Valley Community School District,IA,-0.001758590606329,0.0378666828491877,2019,776,12,64.66666666666667
2501860,Amesbury,MA,0.2851849767043209,0.0281912595001338,2019,1928,12,160.6666666666667
4675600,Smee School District 15-3,SD,-0.5411604157625998,0.0440756975222236,2019,174,12,14.5
2502160,Athol-Royalston,MA,-0.152340879428037,0.0300706672205991,2019,1359,12,113.25
4822120,Hallettsville ISD,TX,-0.0348720155615675,0.0339605590166497,2019,698,8,87.25
2512870,Whately,MA,0.3574405448198586,0.0441149833805868,2019,131,8,16.375
101740,Henry County,AL,-0.4650817516069271,0.0269443091277325,2019,2303,12,191.9166666666667
4622410,Estelline School District 28-2,SD,0.034359164216157,0.0451317674227046,2019,241,12,20.08333333333333
3013860,Hellgate Elementary,MT,0.2968665003967387,0.0252852063553948,2019,2005,12,167.0833333333333
3900537,Manchester Local,OH,-0.0206425912502063,0.0355758889725681,2019,685,10,68.5
1602520,Orofino Joint District,ID,0.08436356132327,0.031821782230074,2019,977,12,81.41666666666667
4701800,Henderson County,TN,0.215833409138479,0.0221769051671729,2019,3158,11,287.0909090909091
3803060,Bottineau 1,ND,0.1262625401676312,0.0354655857147074,2019,612,12,51.0
1801560,Centerville-Abington Community Schools,IN,0.2374904087730086,0.0272262259082149,2019,1632,12,136.0
2800820,Booneville School District,MS,0.3078534537113545,0.0297298968803283,2019,1225,12,102.0833333333333
4632340,Henry School District 14-2,SD,-0.0931716104076442,0.0484987662431025,2019,146,12,12.16666666666667
620370,Laguna Beach Unified,CA,0.7935492310487366,0.0266322617927474,2019,2580,12,215.0
4831620,Mount Calm ISD,TX,-0.3835252741609448,0.0520568668069587,2019,102,8,12.75
4837410,Robinson ISD,TX,0.1358423158072343,0.0272211803150078,2019,1505,8,188.125
2505400,Granby,MA,0.0960643047424908,0.0354943041044189,2019,630,12,52.5
4005010,Boone-Apache,OK,-0.1556611406895715,0.0379362042526551,2019,470,12,39.16666666666666
5508670,Marathon City School District,WI,0.2590090436008099,0.0390752533090689,2019,588,12,49.0
1909120,Dike-New Hartford Community School District,IA,0.2447213152440109,0.0386329303649478,2019,790,12,65.83333333333333
4816770,Denver City ISD,TX,-0.238652928081152,0.0309830610826846,2019,1055,8,131.875
637530,South San Francisco Unified,CA,-0.0831058571162786,0.0202236783039707,2019,7509,12,625.75
5103130,Prince William County Public Schools,VA,0.1089689396994521,0.0193127848856692,2019,55022,8,6877.75
1708460,Carlyle CUSD 1,IL,0.1105841310314845,0.0349850604561121,2019,956,12,79.66666666666667
1600630,Cascade District,ID,-0.061509098134307,0.0581864382015002,2019,140,10,14.0
1600480,Buhl Joint District,ID,-0.3417642026992208,0.0328520648392184,2019,1216,12,101.3333333333333
4006330,Cameron,OK,-0.5604356065763964,0.0517561501102154,2019,228,12,19.0
4825920,Kountze ISD,TX,-0.1580888673139764,0.0353482393070138,2019,694,8,86.75
1302580,Habersham County,GA,0.0616248116757287,0.0205877711491228,2019,6206,12,517.1666666666666
4819080,Farmersville ISD,TX,0.0613504546993693,0.0295525689799672,2019,1087,8,135.875
1714410,Eswood CCSD 269,IL,0.3122975966222342,0.0636534447735761,2019,66,8,8.25
608760,Claremont Unified,CA,0.1729893163020561,0.0202460646102169,2019,5998,12,499.8333333333333
2616380,Grand Haven Area Public Schools,MI,0.4496717921336812,0.0221546818979126,2019,5910,12,492.5
5509660,Mineral Point Unified School District,WI,0.6344769649867146,0.0365996063456381,2019,656,12,54.66666666666666
634425,San Gabriel Unified,CA,0.1344837913686073,0.0230418639270881,2019,4421,12,368.4166666666667
5511400,Paris J1 School District,WI,0.5110442436452743,0.0395466546466176,2019,370,12,30.83333333333333
1304830,Telfair County,GA,-0.2951304512142645,0.0293345580271474,2019,1484,12,123.6666666666667
5510350,Neillsville School District,WI,0.0157344208750732,0.0351339004487698,2019,812,12,67.66666666666667
5302010,Davenport School District,WA,0.2376219168894532,0.0379932446832749,2019,504,12,42.0
5501020,Belmont Community School District,WI,0.0620152967380443,0.0429456055335033,2019,345,12,28.75
618660,Jacoby Creek Elementary,CA,0.5242264553043902,0.0348370845505276,2019,612,12,51.0
2314300,RSU 58/MSAD 58,ME,0.1870105368165229,0.0354631018506131,2019,592,12,49.33333333333334
3410710,Moorestown Township Public School District,NJ,0.6590194906702427,0.0259798578644668,2019,3326,11,302.3636363636364
2916830,Knob Noster R-VIII,MO,0.1493504711206207,0.0310847383736409,2019,1297,11,117.9090909090909
